name,url,category,description,featured,hidden
(dot)connect,https://dotconnect.vc,Finance/Investment,"(dot)connect is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
/dev/agents,https://sdsa.ai,Technology/Software,"/dev/agents is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
1/1 Studio,https://1of1studio.com,Design/Creative,"1/1 Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
1000-wp-themes,https://1000-wp-themes.com,Template,"1000-wp-themes is a template platform offering professional website templates, design resources, customizable layouts, and creative assets for building stunning websites.",False,False
12th Berlin Biennale for Contemporary Art,https://12.berlinbiennale.de,Architecture/Real Estate,"12th Berlin Biennale for Contemporary Art is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
15five,https://15five.com,SaaS / HR,Continuous performance management platform with AI-powered insights for employee engagement and goals.,False,False
23° Monorigine,https://www.23gradicoffee.com,Food & Beverage,"23° Monorigine is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
23×2 Fundacja,https://23x2.org,Finance/Investment,"23×2 Fundacja is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
247Studio,https://247studio.co,Design/Creative,"247Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
2LG Studio,http://www.2lgstudio.com,Design/Creative,"2LG Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
2am-media,https://2am-media.com,Content / Media,"2am-media is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
3-luxury-apartment,https://3-luxury-apartment.com,SaaS / Design,"3-luxury-apartment is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",False,False
3d-christmas-pop-up-card,https://3d-christmas-pop-up-card.com,SaaS / HR,"3d-christmas-pop-up-card is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",False,False
56-digital,https://56-digital.com,Developer Tool,"56-digital is a developer tool platform providing coding resources, APIs, frameworks, documentation, and development solutions for building modern, scalable applications.",False,False
5Point Film Festival,https://www.5pointfilm.org,Media/Entertainment,"5Point Film Festival is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
5S,https://5scontent.com,Media/Entertainment,"5S is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
A Big List of Good News from 2016,https://abiglistofgoodnewsfrom2016.com,Media/Entertainment,"A Big List of Good News from 2016 is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
A Branding and Design Studio specialising in Luxury Brands.,https://colville.walker.com,Design/Creative,"A Branding and Design Studio specialising in Luxury Brands. is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
A Bureaucratic Desire For Revenge,http://abdfr.com,Agency/Studio,"A Bureaucratic Desire For Revenge is a creative agency delivering professional services including branding, design, marketing strategy, and consulting solutions tailored to help businesses achieve their goals.",False,False
A Chronology,https://achronology.com,Recruitment/HR,"A Chronology is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A Ghost Store,https://aghoststore.com,E-commerce/Retail,"A Ghost Store is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
A Magazine,https://amagazine.com,Media/Entertainment,"A Magazine is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
A New Approach,https://newapproach.org.au,Technology/Software,"A New Approach is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A Practice for Everyday Life,https://apracticeforeverydaylife.com,Lifestyle/Blog,"A Practice for Everyday Life is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A Practice of Everyday Life,https://apracticeofeverydaylife.com,Lifestyle/Blog,"A Practice of Everyday Life is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A Private Kyoto Travelouge,https://aprivatekyototravelouge.com,Travel/Hospitality,"A Private Kyoto Travelouge is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A destination like no other creates experiences like no other.,https://saaristo.fi,Food & Beverage,"A destination like no other creates experiences like no other. is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A | r - Architectural Resources,https://ararchitecturalresources.com,Architecture/Real Estate,"A | r - Architectural Resources is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
A&Mcreative,http://amcreativeparis.com,Design/Creative,"A&Mcreative is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
A-Dam Underwear,https://www.adamunderwear.com,E-commerce/Retail,"A-Dam Underwear is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
A. Huseby,https://ahuseby.com,Personal/Portfolio,"A. Huseby is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
A.G Designer Jeweller,https://agdesignerjeweller.com,Design/Creative,"A.G Designer Jeweller is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
A.N Other,https://another.com,Personal/Portfolio,"A.N Other is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
A24 Auctions,https://a24auctions.com,Personal/Portfolio,"A24 Auctions is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
A24 Films,https://a24films.com,Media/Entertainment,"A24 Films is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
ACCLAIM Contractors,https://www.acclaimcontractors.com.au,Technology/Software,"ACCLAIM Contractors is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
ACS Clothing,https://acsclothing.com,E-commerce/Retail,"ACS Clothing is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
ADC Global,https://adcglobal.com,Personal/Portfolio,"ADC Global is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
AGDA | Australian Design Biennale,https://agdaaustraliandesignbiennale.com,Design/Creative,"AGDA | Australian Design Biennale is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",False,False
AGI: Preview,https://agipreview.com,Personal/Portfolio,"AGI: Preview is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
AI Agent Management Platform for contact centers,https://www.parloa.com,Technology/Software,"AI Agent Management Platform for contact centers is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AI Agents for Account Receivables & Working Capital Solutions | Daylit,https://www.daylit.com,Technology/Software,"AI Agents for Account Receivables & Working Capital Solutions | Daylit is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AI Software for Labs and Enterprise | Invisible Technologies,https://invisibletech.ai,Business/Productivity,"AI Software for Labs and Enterprise | Invisible Technologies is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AI-powered software for managing and monetizing media,https://www.backlight.co,Technology/Software,"AI-powered software for managing and monetizing media is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIA New York,https://www.aiany.org,Technology/Software,"AIA New York is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIAIAI,https://aiaiai.com,Technology/Software,"AIAIAI is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIAIAI Audio,https://aiaiai.audio,Technology/Software,"AIAIAI Audio is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIAIAI Denmark,https://aiaiaidenmark.com,Technology/Software,"AIAIAI Denmark is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIGA InsideOut SF,https://aigainsideoutsf.com,Technology/Software,"AIGA InsideOut SF is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIGA New York,https://www.aigany.org,Technology/Software,"AIGA New York is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIGA | Eye on Design,https://aigadesignondesign.com,Technology/Software,"AIGA | Eye on Design is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIGA: Design Conference 2015,https://aigadesignconference2015.com,Technology/Software,"AIGA: Design Conference 2015 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AIR Studios,https://www.airstudios.com,Technology/Software,"AIR Studios is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
ALSO - Introducing Transcendent Mobility,https://ridealso.com,Mobility/Transportation,"ALSO - Introducing Transcendent Mobility is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
ARA Wines,https://arawines.com,Food & Beverage,"ARA Wines is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
ASJP Architecture,https://asjp.com.au,Architecture/Real Estate,"ASJP Architecture is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AVEC Drinks,https://avecdrinks.com,Food & Beverage,"AVEC Drinks is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
AYR SS14,https://ayrss14.com,Personal/Portfolio,"AYR SS14 is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Aalto Festival 2018,https://aaltofestival2018.com,Media/Entertainment,"Aalto Festival 2018 is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,False
Aamir Shaikh,https://aamirshaikh.com,Technology/Software,"Aamir Shaikh is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
Aaply,https://aaply.app,Technology/Software,"Aaply is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
Abbotsford Convent,https://abbotsfordconvent.com,Personal/Portfolio,"Abbotsford Convent is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Abbreviated Projects,https://abbrprojects.com,Business/Productivity,"Abbreviated Projects is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
Abby Seymour,https://abbyseymour.com,Personal/Portfolio,"Abby Seymour is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Abdul Wahab,https://abdulwahab.com,Personal/Portfolio,"Abdul Wahab is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Abdus Salam,https://abdussalam.com,Personal/Portfolio,"Abdus Salam is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Abhay Rahul,https://abhayrahul.com,Personal/Portfolio,"Abhay Rahul is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Abhishek Kambli,https://abhishekkambli.com,Personal/Portfolio,"Abhishek Kambli is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,False
Above The Clouds,https://www.abovethecloudsstore.com,Technology/Software,"Above The Clouds is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,False
