name,url,category,description,featured,hidden
(dot)connect 2,https://dotconnect.vc,Finance/Investment,"(dot)connect is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
/dev/agents,https://sdsa.ai,Technology/Software,"/dev/agents is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
1/1 Studio,https://1of1studio.com,Design/Creative,"1/1 Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
1000-wp-themes 2,https://1000-wp-themes.com,Template,"1000-wp-themes is a template platform offering professional website templates, design resources, customizable layouts, and creative assets for building stunning websites.",false,false
12th Berlin Biennale for Contemporary Art,https://12.berlinbiennale.de,Architecture/Real Estate,"12th Berlin Biennale for Contemporary Art is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
15five 2,https://15five.com,SaaS / HR,Continuous performance management platform with AI-powered insights for employee engagement and goals.,false,false
23° Monorigine,https://www.23gradicoffee.com,Food & Beverage,"23° Monorigine is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
23×2 Fundacja,https://23x2.org,Finance/Investment,"23×2 Fundacja is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
247Studio,https://247studio.co,Design/Creative,"247Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
2LG Studio,http://www.2lgstudio.com,Design/Creative,"2LG Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
2am-media 2,https://2am-media.com,Content / Media,"2am-media is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
3-luxury-apartment 2,https://3-luxury-apartment.com,SaaS / Design,"3-luxury-apartment is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",false,false
3d-christmas-pop-up-card 2,https://3d-christmas-pop-up-card.com,SaaS / HR,"3d-christmas-pop-up-card is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",false,false
56-digital 2,https://56-digital.com,Developer Tool,"56-digital is a developer tool platform providing coding resources, APIs, frameworks, documentation, and development solutions for building modern, scalable applications.",false,false
5Point Film Festival,https://www.5pointfilm.org,Media/Entertainment,"5Point Film Festival is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
5S,https://5scontent.com,Media/Entertainment,"5S is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
A Big List of Good News from 2016,https://abiglistofgoodnewsfrom2016.com,Media/Entertainment,"A Big List of Good News from 2016 is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
A Branding and Design Studio specialising in Luxury Brands.,https://colville.walker.com,Design/Creative,"A Branding and Design Studio specialising in Luxury Brands. is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
A Bureaucratic Desire For Revenge,http://abdfr.com,Agency/Studio,"A Bureaucratic Desire For Revenge is a creative agency delivering professional services including branding, design, marketing strategy, and consulting solutions tailored to help businesses achieve their goals.",false,false
A Chronology,https://achronology.com,Recruitment/HR,"A Chronology is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A Ghost Store,https://aghoststore.com,E-commerce/Retail,"A Ghost Store is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
A Magazine,https://amagazine.com,Media/Entertainment,"A Magazine is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
A New Approach,https://newapproach.org.au,Technology/Software,"A New Approach is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A Practice for Everyday Life,https://apracticeforeverydaylife.com,Lifestyle/Blog,"A Practice for Everyday Life is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A Practice of Everyday Life,https://apracticeofeverydaylife.com,Lifestyle/Blog,"A Practice of Everyday Life is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A Private Kyoto Travelouge,https://aprivatekyototravelouge.com,Travel/Hospitality,"A Private Kyoto Travelouge is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A destination like no other creates experiences like no other.,https://saaristo.fi,Food & Beverage,"A destination like no other creates experiences like no other. is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A | r - Architectural Resources,https://ararchitecturalresources.com,Architecture/Real Estate,"A | r - Architectural Resources is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
A&Mcreative,http://amcreativeparis.com,Design/Creative,"A&Mcreative is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
A-Dam Underwear,https://www.adamunderwear.com,E-commerce/Retail,"A-Dam Underwear is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
A. Huseby,https://ahuseby.com,Personal/Portfolio,"A. Huseby is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
A.G Designer Jeweller,https://agdesignerjeweller.com,Design/Creative,"A.G Designer Jeweller is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
A.N Other,https://another.com,Personal/Portfolio,"A.N Other is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
A24 Auctions,https://a24auctions.com,Personal/Portfolio,"A24 Auctions is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
A24 Films,https://a24films.com,Media/Entertainment,"A24 Films is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
