Name,URL,Category,100-char description
Upstatement,https://upstatement.com,Design Studio,"Digital product and brand studio crafting editorial-grade sites, apps, and systems."
Carrot,https://carrot.tech,Climate Tech / SaaS,Platform turning real-world actions into rewards and measurable climate impact.
Adnaut,https://www.adnaut.digital,Marketing Consultancy,"Media and analytics consultancy optimizing ad spend with data, creative, and tooling."
Impossible Foods,https://impossiblefoods.com,Food Tech,"Plant-based meat brand making sustainable, tasty alternatives for burgers and more."
The Finnish Institute in the UK and Ireland,https://fininst.uk,Cultural Institution,"Cultural institute linking Finland with the UK and Ireland through arts, research, events."
Keith Greenbaum,https://www.keithgreenbaum.com,Portfolio / Creative,"Photographer and director portfolio showcasing still life, product, and motion work."
Igma,https://igma.im,Portfolio / Creative,"Design and development portfolio featuring playful UI, identities, and interactive work."
Stōkt Creative Co.,https://wearestokt.com,Design Studio,"Motion-led design studio building brands, products, and purposeful web experiences."
Cursor,https://cursor.com,AI Tool / Developer,"AI code editor that understands your repo, writes diffs, and accelerates shipping."
Atlas Studio,https://atlas-studio.framer.website,Template / Portfolio,"Framer portfolio template for studios—clean cards, crisp typography, fast setup."
Arcade,https://www.arcade.software,SaaS,SaaS for interactive product demos that educate users and boost conversions.
Aaron Poe,https://aaronpoeandco.com,Portfolio / Creative,"Creative director portfolio—culture-led brands, motion systems, and campaigns."
Jakub Zeg,https://www.zegzulka.com,Portfolio / Creative,"Designer portfolio delivering dynamic, interactive visuals across platforms."
Central,https://centralhq.com,Fintech / HR SaaS,"Fintech HR suite for payroll, benefits, and compliance with AI-assisted workflows."
Destello,https://destello.framer.website,Design Studio / Template,"Minimal Framer studio site and template focused on clarity, speed, and brand impact."
Webflow,https://webflow.com,SaaS,"Visual web platform to design, build, and host responsive, CMS-powered sites."
Early Works,https://www.early.works,Product Studio,Product studio that co-builds new companies across applied AI and emerging tech.
Keto,https://ketosoftware.com,SaaS,"Portfolio and OKR software for strategy, planning, and reporting at scale."
Craft,https://www.craft.do,SaaS,"Modern docs and notes app for writing, organizing, and publishing work beautifully."
Cofounder,https://cofounder.com,Product Studio,"Partner that helps founders validate, fund, and launch new products fast."
AirPods Pro 3,https://www.apple.com/airpods-pro,Hardware,"Premium ANC earbuds with Adaptive Audio, USB-C, and immersive Spatial sound."
Form&Fun,https://www.formandfun.co,Design Studio,"Playful studio crafting standout brands, websites, and motion-led experiences."
Atomize,https://atomizedesign.com,Design Studio,"Design-engineering team shipping fast UI systems, brands, and front-end builds."
PlayerZero,https://playerzero.ai,SaaS / DevTool,"User issue tracking that turns customer signals into clear, fixable bugs."
Hurt Feelings,https://www.hurt-feelings.com,Design Studio,Independent studio making brave brand identities and expressive web work.
Mercury,https://mercury.com,Fintech,"Banking for startups: accounts, cards, payments, and modern treasury tools."
Undone,https://undone.com,Design Studio,"Creative studio building bold identities, campaigns, and digital products."
Curated Supply,https://curated.supply,E-commerce,Curated marketplace of quality goods from independent makers and brands.
Plasticity,https://www.plasticity.xyz,AI Tool,"Tools and research to train, inspect, and deploy high-performance LLMs."
Parallel,https://parallel.ai,AI Tool,"AI data platform for synthetic data, labeling, evaluation, and quality."
Taskco,https://taskco.webflow.io,Template,"Webflow template for task SaaS: feature pages, pricing, blog, and support."
Roomie,https://roomie.framer.website,Template / Real Estate,"Framer template for roommate or rental listings with map, cards, and contact."
PostHog,https://posthog.com,SaaS / Analytics,"Product OS: analytics, session replay, feature flags, and A/B testing in one."
Tempo,https://tempo.xyz,Product Studio,"Studio designing thoughtful software, brands, and digital experiences."
Antonin Saurat,https://www.antoninsaurat.work,Portfolio,"Designer-developer portfolio with type-driven, interactive web projects."
Latitude.sh,https://latitude.sh,Cloud / SaaS,"Developer-first bare-metal cloud: GPUs, APIs, global regions, clear pricing."
Operate,https://operate.so,SaaS,"AI-assisted operations workspace to automate tasks, docs, and workflows."
Tandem.bi,https://tandem.bi,SaaS / Analytics,"Collaborative BI: shared metrics, dashboards, and dependable data workflows."
Jonas,https://jonas-template.framer.website,Template / Portfolio,Minimal Framer portfolio template with clean grid case studies and about page.
Fin,https://fin.ai,AI Tool / Support,AI support agent that answers customer questions and resolves tickets fast.
The Webflow Way,https://webflow.com/blog/webflow-way,Education / Design,Lessons and stories on building for the web the Webflow way.
Shelby,https://shelby.xyz,AI Tool,AI research and reading assistant for faster insight from complex sources.
Redo Media,https://redomedia.com,Media / Creative,Content studio helping brands produce sharp video and digital stories.
Canals and Windmills,https://canalsandwindmills.com,Design Studio,"Independent studio crafting thoughtful brands, sites, and visuals."
Kastle,https://www.kastle.ai,AI Tool,"AI workspace that organizes info, answers questions, and speeds decisions."
Wispr Flow,https://wispr.ai,Hardware / AI,"Wearable + AI interface aimed at natural, hands-free computing."
The Defense Reformation,https://thedefensereformation.com,Media / Public Policy,"Writing on defense tech, doctrine, and modern deterrence."
Bridge Consulting,https://bridge.consulting,Consulting,"Advisory for strategy, operations, and digital execution."
Duna,https://duna.com,Fintech,Payments and financial tools for growing businesses in emerging markets.
L'Étude,https://letude.group,Design Studio,Paris-based studio shaping brand identities and digital experiences.
Monograph,https://monograph.com,SaaS / Ops,Project and practice management software for architecture firms.
Anatoly Ivanov,https://anatoly.design,Portfolio,"Designer portfolio showcasing type-led, interactive web work."
re_,https://regrocery.co,E-commerce / Sustainability,Refill-first grocery brand delivering low-waste staples and home goods.
Studio Almond,https://www.almond.studio,Design Studio,"Brand and web studio building elegant, conversion-focused experiences."
Gradient Labs,https://gradient-labs.ai,AI Studio,"Applied AI studio researching, prototyping, and shipping ML products."
Graza,https://www.graza.co,E-commerce / CPG,"Squeeze-bottle olive oil brand delivering fresh, single-origin EVOO."
Paraform,https://paraform.com,SaaS / Hiring,Platform connecting companies with vetted talent for open roles.
Rare Assembly,https://rareassembly.com,Design Studio,"Creative studio crafting distinct brands, campaigns, and websites."
The New Industrials,https://thenewindustrials.com,Media / Analysis,"Newsletter exploring modern manufacturing, energy, and hard tech."
The Unwash,https://theunwash.com,Media / Reviews,"Publication spotlighting mission-driven brands with honest, useful product reviews."
