name,url,category,description,featured,hidden
headroom.com,https://headroom.com,AI Tool/SaaS,AI-powered custom software builder automating business workflows instantly,false,true
breyta.ai,https://breyta.ai,AI Tool/SaaS,AI research analysis tool extracting instant insights from qualitative data,false,true
dannypostma.com,https://dannypostma.com/seo-course,Education,Comprehensive SEO training course for digital marketing professionals,false,true
headshotpro.com,https://headshotpro.com,AI Tool,AI headshot generator creating professional photos without photoshoots,false,true
zixflow.com,https://zixflow.com,SaaS/CRM,All-in-one CRM and workflow automation platform for sales,false,true
letsjive.io,https://letsjive.io,SaaS,Customer engagement platform with AI-powered conversation analytics,true,true
talkbase.io,https://talkbase.io,SaaS,Community platform for customer support and knowledge sharing,false,true
openlayer.com,https://openlayer.com,AI Tool/SaaS,ML testing and monitoring platform ensuring AI model quality,false,true
contentondemand.in,https://contentondemand.in,Content Service,Content creation service delivering SEO-optimized articles on demand,false,true
kosmik.app,https://kosmik.app,SaaS/Productivity,"Visual workspace combining notes, files, and web content seamlessly",false,true
thefusebase.com,https://thefusebase.com,SaaS,Unified workspace integrating team communication and projects,false,true
alignui.com,https://alignui.com,Design Tool/SaaS,Design system and UI component library for web developers,false,true
perspective.co,https://perspective.co,SaaS,Customer feedback platform with AI-powered sentiment analysis,false,true
inflatable.wannathis.one,https://inflatable.wannathis.one,Design Tool,3D design toolkit creating inflatable-style graphics for projects,false,true
joincobalt.com,https://joincobalt.com,Fintech,Banking platform designed specifically for early-stage startups,true,true
copyui.com,https://copyui.com,Design Tool,UI component library with copy-paste React and Tailwind code,false,true
miro.com,https://miro.com,SaaS/Productivity,Online collaborative whiteboard platform for distributed teams,false,true
talknotes.io,https://talknotes.io,AI Tool/Productivity,Voice-to-text note-taking app transcribing meetings instantly,false,true
nudgenow.com,https://nudgenow.com,SaaS/Marketing,Behavioral economics platform optimizing user engagement,false,true
enterpret.com,https://enterpret.com,AI Tool/SaaS,AI-powered customer feedback analysis for product teams,false,true
jasonbriscoe.com,https://jasonbriscoe.com,Portfolio/Service,Professional photography portfolio showcasing commercial work,false,true
equals.com,https://equals.com,SaaS/Analytics,Spreadsheet platform built for modern data analysis and reporting,false,true
bobmeijer.nl,https://bobmeijer.nl/en,Portfolio/Service,Digital product design portfolio and consulting services,false,true
