name,url,category,description,hidden,reason
праг,https://d0-bf-d1-80-d0-b0-d0-b3.com,Other,"праг is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
⌘space,https://e2-8c-98space.com,Other,"⌘space is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
&Fold™,https://andfold.webflow.io/homepage/home-b?ref=a1.gallery,Other,"&Fold™ is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",True,non_specific_category
&Tradition,https://andtradition.com,Other,"&Tradition is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
&Walsh,https://andwalsh.com,Other,"&Walsh is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
(Re)vive,https://byrevive.com,Other,"(Re)vive is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
(^a^) ~ Maki-San,https://amakisan.com,Other,"(^a^) ~ Maki-San is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
(dot)connect,https://dot-connect.com,Other,"(dot)connect is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
/Favorites,https://favorites.com,Other,"/Favorites is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
032c,https://032c.com,Other,"032c is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
0h-h1,https://0h-h1.com,Other,"0h-h1 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
10-interesting-facts-about-fireworks,https://10-interesting-facts-about-fireworks.com,Other,"10-interesting-facts-about-fireworks is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
100/100,https://100100.com,Other,"100/100 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
10Deep: Spring 2014,https://10deepspring2014.com,Other,"10Deep: Spring 2014 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
10x17,http://10x17.co,Other,"10x17 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
12th-of-never,https://12th-of-never.com,Other,"12th-of-never is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
14islands,https://14islands.com,Other,"14islands is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
1927,https://1927.com,Other,"1927 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
1sest,https://1sest.com,Other,"1sest is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
1til1 Landskab,https://1til1landskab.dk,Other,"1til1 Landskab is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2-pixels-beyond,https://2-pixels-beyond.com,Other,"2-pixels-beyond is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2-surface,https://2-surface.com,Other,"2-surface is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2.AG: The Science of Rapid Relief | A Breakthrough in Topical CBG/CBD,https://2-ag-the-science-of-rapid-relief-a-breakthrough-in-topical-cbg-cbd.com,Developer Tool,"2.AG: The Science of Rapid Relief | A Breakthrough in Topical CBG/CBD is a developer tool platform providing coding resources, APIs, frameworks, documentation, and development solutions for building modern, scalable applications.",False,invalid_official_url
20-limit,https://20-limit.com,Other,"20-limit is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
20-tongues,https://20-tongues.com,Other,"20-tongues is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2011-wgd-awards,https://2011-wgd-awards.com,Other,"2011-wgd-awards is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2013-on-ustream,https://2013-on-ustream.com,Other,"2013-on-ustream is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
21Wallpaper,https://21wallpaper.com,Other,"21Wallpaper is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
24streams,https://24streams.com,Other,"24streams is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
25-years-of-the-internet,https://25-years-of-the-internet.com,Other,"25-years-of-the-internet is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
27b,https://27-b.com,Other,"27b is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
288 4th Ave,https://288bk.com/?ref=a1.gallery,Other,"288 4th Ave is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
29Rooms,https://29rooms.com,Other,"29Rooms is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
2SJ Architektur Fotografie,https://2sjarchitekturfotografie.com,Other,"2SJ Architektur Fotografie is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,non_specific_category
